EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeId_Original,Attrition_Original
2,-0.0059287433014748306,1.0,2,0.8118287439129986,1,0.2515599993104889,2,3,0.0,1,0,-0.22858033125733732,-2.466281069109382,2,0,2,1,-0.38151818953788885,0.01628424103431539,5,Y,0,-0.04285203040678988,3,1,0.0,0,0.47257588025233066,2,1,-1.1180626201052817,-1.1955563405157763,-0.7728312006745491,-1.165271055621019,2,0.0
3,1.4824872868925714,1.0,2,1.257595836643482,1,-0.6194326864742145,4,1,0.0,1,1,-1.557630960749928,0.3730283662744333,1,6,3,1,-0.8832741991764227,-0.5586123117780178,9,Y,1,-0.8671692698683078,3,3,0.0,3,0.8599611705211576,2,4,0.6655179241471043,-1.1955563405157763,0.03036664835656384,0.8122718953251926,3,0.0
4,0.5256484103392559,0.0,1,-0.6234433238895467,2,2.117972897420567,3,2,0.0,3,0,0.559005226960494,0.3730283662744333,4,7,2,1,1.5137156499776097,0.08470402830728936,5,Y,0,-0.3176244435606292,3,4,0.0,1,1.5056033209692024,2,4,2.2509228523714473,-0.0673158604036646,0.8335644973876768,1.0947780311746513,4,0.0
7,0.3130175488829636,0.0,2,0.7701911583282831,2,-0.9927152660962302,2,3,0.0,2,1,-0.42547672081179516,-2.466281069109382,2,7,4,1,0.19909757291084643,-0.14113804959997536,2,Y,1,1.8805548616700853,4,3,0.0,3,-0.6895799905541501,2,2,-0.523535772021153,-0.34937598043169255,-0.7728312006745491,-0.6002587839221015,7,0.0
8,1.907749009805156,1.0,2,-0.20706746804239193,1,-0.8682877395555583,3,3,0.0,4,1,0.6082293243491086,0.3730283662744333,5,3,1,1,2.372913238373646,0.9839557967186797,5,Y,1,-0.5923968567144685,3,4,0.0,1,1.6347317510588113,2,3,-0.32536015599311013,-0.6314361004597204,-0.3712322761589927,-0.03524651222318386,8,0.0
9,-0.11224417402962099,0.0,1,-0.42750174466735624,1,1.1225526850951923,1,3,0.0,2,0,0.3621088374060362,0.3730283662744333,1,2,4,2,-0.9500016823235162,-0.9317982469245917,1,Y,0,-0.5923968567144685,3,1,0.0,0,-0.4313231303749321,2,3,0.2691666920910185,-0.9134962204877484,-0.3712322761589927,0.8122718953251926,9,0.0
10,-0.5375058969422056,0.0,2,0.5105685658588808,1,-0.7438602130148864,2,1,0.0,3,0,-1.3115104738068555,0.3730283662744333,3,5,4,2,1.0011272567113008,0.724755523771687,3,Y,0,-0.04285203040678988,3,4,0.0,0,-0.17306627019571416,6,3,0.07099107606297561,0.7788644996804192,2.038361270934346,0.8122718953251926,10,0.0
11,-1.2817139120392287,0.0,2,-0.5548637711617801,2,-0.6194326864742145,1,2,0.0,3,1,1.0512462008466388,-1.0466263514174743,2,7,1,1,-0.4943916269393034,0.551718758863481,1,Y,0,-0.8671692698683078,3,1,0.0,0,-0.818708420643759,1,4,-0.32536015599311013,-0.6314361004597204,-0.7728312006745491,-0.3177526480726427,11,0.0
12,-1.8132910656799595,1.0,2,-1.666832233247711,1,-0.6194326864742145,3,5,0.0,1,1,0.9035739086807953,0.3730283662744333,1,2,1,2,-0.7723505908280076,-0.1787547376234984,1,Y,0,1.0562376222085674,3,2,0.0,0,-1.335222141002195,2,3,-1.1180626201052817,-1.1955563405157763,-0.7728312006745491,-1.165271055621019,12,0.0
14,0.5256484103392559,0.0,2,0.0011204598811854665,1,1.7446903177985518,5,1,0.0,1,0,-1.0653899868637833,0.3730283662744333,4,5,4,2,2.048185458172024,0.23190593578047197,2,Y,0,-0.3176244435606292,3,2,0.0,0,0.6017043103419396,2,3,-1.1180626201052817,-1.1955563405157763,-0.7728312006745491,-1.165271055621019,14,0.0
